0.0	| 0.0	0.0	0.0	| 1.0	0.0	0.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
4.0	| 0.0	0.0	0.0	| 1.0	0.0	0.0	90.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
8.0	| 0.0	0.0	0.0	| 1.0	0.0	0.0	180.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
12.0	| 0.0	0.0	0.0	| 1.0	0.0	0.0	270.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
16.0	| 0.0	0.0	0.0	| 1.0	0.0	0.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0


0.0	| 0.0	0.0	0.0	| 1.0	1.0	-1.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
1.0	| 4.0	0.0	0.0	| 1.0	1.0	-1.0	30.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
2.0	| 8.0	0.0	0.0	| 1.0	1.0	-1.0	90.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
3.0	| 12.0	12.0	12.0	| 1.0	1.0	-1.0	180.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
4.0	| 12.0	18.0	18.0	| 1.0	1.0	-1.0	270.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
5.0	| 18.0	18.0	18.0	| 0.0	1.0	0.0	90.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
6.0	| 18.0	18.0	18.0	| 0.0	0.0	1.0	90.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
7.0	| 25.0	12.0	12.0	| 1.0	0.0	0.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
8.0	| 25.0	0.0	18.0	| 1.0	0.0	0.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
9.0	| 25.0	1.0	18.0	| 1.0	0.0	0.0	0.0	| 0.0	0.0	0.0	| 0.0	0.0	0.0	0.0
